algorithm,backend,iteration,problem_size,threads,source_path,runtime_sec,perf_duration_sec,task_clock_sec,cpus_utilized,sim_seconds,host_seconds,host_tick_rate,host_memory_bytes,clock_ghz,cycles,cycles_sum,cycles_max,instructions,instructions_not_nop,ops,ipc,ipc_wall,cpi,core_ipc_mean,core_ipc_min,core_ipc_max,user_time_sec,system_time_sec,branches,branch_misses,branch_miss_rate,branch_predicted,branch_mispredicted,btb_lookups,btb_hits,btb_misses,btb_hit_rate,l1d_accesses,l1d_reads,l1d_writes,l1d_misses,l1d_read_misses,l1d_write_misses,l1d_miss_rate,l1i_accesses,l1i_misses,l1i_miss_rate,l2d_accesses,l2d_reads,l2d_writes,l2d_misses,l2d_miss_rate,l2_accesses_total,l2_misses_total,l2_miss_rate_total,l1d_tlb_accesses,l1d_tlb_misses,l1d_tlb_miss_rate,l1i_tlb_accesses,l1i_tlb_misses,l1i_tlb_miss_rate,l2d_tlb_accesses,l2d_tlb_misses,l2d_tlb_miss_rate,mem_accesses,mem_reads,mem_writes,load_insts,store_insts,vec_insts,fp_insts,int_insts,issue_rate,fu_busy,fu_busy_rate,iq_full_events,lsq_full_events,rob_full_events,sq_full_events,dcache_blocked_no_mshrs_cycles,icache_stall_cycles
BFS,gem5,i1,512,1,binaries/BFS/stats/gem5/i1/512/t1,0.001244,,,,0.001244,7.03,176858866.0,8793708.0,2.3980815347721824,2982456.0,2982456.0,2982456.0,3843051.0,3828664.0,4189227.0,1.2885524547554097,1.2885524547554097,0.7760646423896014,1.288552,1.288552,1.288552,,,927274.0,62220.0,0.0670999079020872,676409.0,62220.0,1254809.0,768100.0,486709.0,0.6121250325746787,1298630.0,807237.0,489860.0,28442.0,6994.0,21052.0,0.021901542394677467,834066.0,41996.0,0.050350931461059435,6263.0,,,3068.0,0.4898610889350152,43880.0,6951.0,0.15840929808568824,0.0,0.0,,0.0,0.0,,0.0,0.0,,1343143.0,835991.0,507152.0,835991.0,507152.0,99721.0,0.0,3659733.0,1.6000671929443384,41730.0,0.008975544705654615,609.0,336.0,13528.0,43177.0,22764.0,514937.0
BFS,gem5,i1,1024,1,binaries/BFS/stats/gem5/i1/1024/t1,0.001818,,,,0.001818,11.21,162172689.0,8793708.0,2.3980815347721824,4360670.0,4360670.0,4360670.0,6595989.0,6571269.0,7015496.0,1.5126090715417584,1.5126090715417584,0.6611093499397892,1.512609,1.512609,1.512609,,,1687883.0,96302.0,0.057054902502128406,1247896.0,96302.0,2281278.0,1496195.0,785083.0,0.6558582513836543,2030876.0,1336900.0,690734.0,78895.0,36474.0,41174.0,0.03884776815521972,1423220.0,43977.0,0.03089965008923427,19312.0,,,5011.0,0.25947597348798673,58727.0,8954.0,0.15246820031671973,0.0,0.0,,0.0,0.0,,0.0,0.0,,2124710.0,1405613.0,719097.0,1405613.0,719097.0,156598.0,0.0,6038832.0,1.843253444998131,65171.0,0.008344576422253416,618.0,336.0,25646.0,84704.0,37896.0,562692.0
BFS,gem5,i1,2048,1,binaries/BFS/stats/gem5/i1/2048/t1,0.003139,,,,0.003139,20.72,151538199.0,8794732.0,2.3980815347721824,7528115.0,7528115.0,7528115.0,12786461.0,12726506.0,13450967.0,1.698494377410547,1.698494377410547,0.5887567326095938,1.698494,1.698494,1.698494,,,3265945.0,164272.0,0.05029845879217194,2588971.0,164272.0,4407847.0,3077971.0,1329876.0,0.6982935206235606,3783471.0,2593159.0,1181923.0,221891.0,135038.0,84849.0,0.058647469479744925,2825974.0,54479.0,0.01927795514042238,54824.0,,,9073.0,0.16549321465051803,103838.0,13258.0,0.12767965484697316,0.0,0.0,,0.0,0.0,,0.0,0.0,,3989871.0,2745117.0,1244754.0,2745117.0,1244754.0,312884.0,0.0,11403912.0,2.0437409630432053,138597.0,0.009263740593607413,915.0,337.0,49671.0,162050.0,62077.0,733420.0
BFS,gem5,i1,4096,1,binaries/BFS/stats/gem5/i1/4096/t1,0.005039,,,,0.005039,34.75,145011277.0,8794736.0,2.3980815347721824,12082870.0,12082870.0,12082870.0,22649676.0,22546433.0,23531662.0,1.8745278232737752,1.8745278232737752,0.5334676752108949,1.874528,1.874528,1.874528,,,5838712.0,225450.0,0.038612968065559666,4590068.0,225450.0,7493807.0,5441210.0,2052597.0,0.7260942268729366,6361733.0,4489469.0,1860353.0,495141.0,322903.0,167342.0,0.0778311507257535,4703416.0,54802.0,0.011651531567694629,109319.0,,,30846.0,0.2821650399290151,158584.0,35525.0,0.22401377188114815,0.0,0.0,,0.0,0.0,,0.0,0.0,,6861625.0,4896827.0,1964798.0,4896827.0,1964798.0,536196.0,0.0,19816084.0,2.190367023728634,252539.0,0.0097751906274231,1786.0,1054.0,111319.0,319975.0,130749.0,793680.0
BFS,gem5,i1,8192,1,binaries/BFS/stats/gem5/i1/8192/t1,0.010388,,,,0.010388,68.71,151182477.0,8795760.0,2.3980815347721824,24911357.0,24911357.0,24911357.0,44986182.0,44800674.0,46308374.0,1.8058503195951952,1.8058503195951952,0.5537557510437316,1.80585,1.80585,1.80585,,,11970555.0,565767.0,0.04726322213130469,9696000.0,565767.0,16675817.0,12010484.0,4665333.0,0.7202336173394083,12258301.0,8929907.0,3302439.0,1373166.0,991484.0,359553.0,0.11201927575444591,9826134.0,58214.0,0.005924405264573026,264284.0,,,118297.0,0.4476131737070727,315882.0,130380.0,0.41274906452409443,0.0,0.0,,0.0,0.0,,0.0,0.0,,12989287.0,9492745.0,3496542.0,9492745.0,3496542.0,965820.0,0.0,38875258.0,2.166647003613653,554677.0,0.01062151519142633,8297.0,6294.0,271167.0,624242.0,325139.0,1127027.0
BFS,gem5,i1,16384,1,binaries/BFS/stats/gem5/i1/16384/t1,0.024376,,,,0.024376,132.03,184630646.0,8796780.0,2.3980815347721824,58456138.0,58456138.0,58456138.0,95793551.0,95328607.0,98558260.0,1.6387252780879913,1.6387252780879913,0.6102304110221366,1.638725,1.638725,1.638725,,,24947915.0,974055.0,0.039043543318149035,20960184.0,974055.0,33805233.0,25646180.0,8159053.0,0.7586452665479335,25879620.0,19148416.0,6664259.0,3584184.0,2824053.0,696062.0,0.13849446011958444,20984960.0,68897.0,0.003283160892372442,620574.0,,,370249.0,0.5966234486137028,681822.0,393915.0,0.5777387646629178,0.0,0.0,,0.0,0.0,,0.0,0.0,,27372723.0,20253592.0,7119131.0,20253592.0,7119131.0,2156778.0,0.0,81930695.0,1.933001355648914,1259810.0,0.011452109192149104,24032.0,16237.0,744712.0,2188099.0,958174.0,1655854.0
BFS,gem5,i2,512,1,binaries/BFS/stats/gem5/i2/512/t1,0.002031,,,,0.002031,7.64,265937657.0,8808044.0,2.3980815347721824,4870997.0,4870997.0,4870997.0,3843051.0,3828664.0,4189225.0,0.7889659960784209,0.7889659960784209,1.2674817482255636,0.788966,0.788966,0.788966,,,927276.0,62929.0,0.0678643683218373,604566.0,62929.0,1109187.0,669138.0,440049.0,0.6032688807207441,1309846.0,818455.0,489858.0,23663.0,4341.0,18922.0,0.018065482507103887,742113.0,39207.0,0.05283157686228378,5530.0,,,2997.0,0.5419529837251357,42803.0,6883.0,0.16080648552671542,0.0,0.0,,0.0,0.0,,0.0,0.0,,1343144.0,835994.0,507150.0,835994.0,507150.0,99721.0,0.0,3659732.0,0.9254111632587744,16844.0,0.0037738385431603095,16.0,422.0,647.0,14809.0,20360.0,2632071.0
BFS,gem5,i2,1024,1,binaries/BFS/stats/gem5/i2/1024/t1,0.003179,,,,0.003179,12.2,260472174.0,8808048.0,2.3980815347721824,7622809.0,7622809.0,7622809.0,6595854.0,6571134.0,7015340.0,0.8652786656467452,0.8652786656467452,1.1556970484792417,0.865279,0.865279,0.865279,,,1687868.0,97020.0,0.057480798261475424,1120899.0,97020.0,2025587.0,1314942.0,710645.0,0.6491658961081405,2056044.0,1362086.0,690716.0,53263.0,14962.0,37004.0,0.02590557400522557,1269705.0,41026.0,0.03231144242166487,14920.0,,,4918.0,0.32962466487935654,57635.0,8853.0,0.15360458055001303,0.0,0.0,,0.0,0.0,,0.0,0.0,,2124669.0,1405590.0,719079.0,1405590.0,719079.0,156598.0,0.0,6038686.0,0.9957126041069637,24097.0,0.0032061452825411373,22.0,399.0,1022.0,27145.0,35600.0,4219742.0
BFS,gem5,i2,2048,1,binaries/BFS/stats/gem5/i2/2048/t1,0.005809,,,,0.005809,22.63,256756444.0,8809068.0,2.3980815347721824,13931365.0,13931365.0,13931365.0,12786461.0,12726506.0,13450967.0,0.9178182468121394,0.9178182468121394,1.0895403348901624,0.917818,0.917818,0.917818,,,3265945.0,164876.0,0.05048339760773681,2290132.0,164876.0,3856934.0,2663012.0,1193922.0,0.6904479049939667,3814899.0,2624587.0,1181923.0,109907.0,31558.0,76076.0,0.028809937038962237,2477809.0,50849.0,0.020521759344646822,30822.0,,,8843.0,0.2869054571410032,106389.0,13110.0,0.12322702535036517,0.0,0.0,,0.0,0.0,,0.0,0.0,,3989871.0,2745117.0,1244754.0,2745117.0,1244754.0,312884.0,0.0,11403912.0,1.0362301899347264,45972.0,0.0032111200363217265,62.0,1243.0,1756.0,50880.0,60430.0,7935320.0
BFS,gem5,i2,4096,1,binaries/BFS/stats/gem5/i2/4096/t1,0.009617,,,,0.009617,38.02,252944123.0,8809072.0,2.3980815347721824,23061303.0,23061303.0,23061303.0,22649636.0,22546392.0,23531622.0,0.9821490138696847,0.9821490138696847,1.018175435578744,0.982149,0.982149,0.982149,,,5838702.0,225982.0,0.03870415034026398,4169141.0,225982.0,6728634.0,4828766.0,1899868.0,0.7176443242417406,6471495.0,4599233.0,1860351.0,213926.0,61816.0,147344.0,0.033056658469179066,4210401.0,51118.0,0.012140886343129787,54360.0,,,22459.0,0.4131530537159676,157568.0,35395.0,0.2246331742485784,0.0,0.0,,0.0,0.0,,0.0,0.0,,6861611.0,4896815.0,1964796.0,4896815.0,1964796.0,536196.0,0.0,19816049.0,1.085894582799593,74325.0,0.0029898334800527323,546.0,1090.0,5534.0,95192.0,123309.0,13132378.0
