algorithm,backend,iteration,problem_size,threads,source_path,runtime_sec,perf_duration_sec,task_clock_sec,cpus_utilized,sim_seconds,host_seconds,host_tick_rate,host_memory_bytes,clock_ghz,cycles,cycles_sum,cycles_max,instructions,instructions_not_nop,ops,ipc,ipc_wall,cpi,core_ipc_mean,core_ipc_min,core_ipc_max,user_time_sec,system_time_sec,branches,branch_misses,branch_miss_rate,branch_predicted,branch_mispredicted,btb_lookups,btb_hits,btb_misses,btb_hit_rate,l1d_accesses,l1d_reads,l1d_writes,l1d_misses,l1d_read_misses,l1d_write_misses,l1d_miss_rate,l1i_accesses,l1i_misses,l1i_miss_rate,l2d_accesses,l2d_reads,l2d_writes,l2d_misses,l2d_miss_rate,l2_accesses_total,l2_misses_total,l2_miss_rate_total,l1d_tlb_accesses,l1d_tlb_misses,l1d_tlb_miss_rate,l1i_tlb_accesses,l1i_tlb_misses,l1i_tlb_miss_rate,l2d_tlb_accesses,l2d_tlb_misses,l2d_tlb_miss_rate,mem_accesses,mem_reads,mem_writes,load_insts,store_insts,vec_insts,fp_insts,int_insts,issue_rate,fu_busy,fu_busy_rate,iq_full_events,lsq_full_events,rob_full_events,sq_full_events,dcache_blocked_no_mshrs_cycles,icache_stall_cycles
FFT,gem5,i1,128,1,binaries/FFT/stats/gem5/i1/128/t1,0.000419,,,,0.000419,2.12,198099544.0,8774972.0,2.3980815347721824,1004856.0,1004856.0,1004856.0,1113481.0,1113283.0,1370065.0,1.1081000660791198,1.1081000660791198,0.9024455738355661,1.1081,1.1081,1.1081,,,226596.0,6027.0,0.026597998199438647,149902.0,6027.0,253320.0,145028.0,108292.0,0.5725090794252329,452407.0,247334.0,205064.0,36690.0,11521.0,25160.0,0.0810995409001187,254255.0,2436.0,0.00958093252836719,9241.0,,,4104.0,0.44410778054323125,11327.0,6113.0,0.5396839410258674,0.0,0.0,,0.0,0.0,,0.0,0.0,,456904.0,251792.0,205112.0,251792.0,205112.0,76562.0,0.0,1249170.0,1.463463421624591,19085.0,0.013082715528912561,242.0,2617.0,6348.0,57147.0,51667.0,42919.0
FFT,gem5,i1,128,2,binaries/FFT/stats/gem5/i1/128/t2,0.000496,,,,0.000496,3.29,150848236.0,8781580.0,2.3980815347721824,1448178.0,1448178.0,1189801.0,1983906.0,1983473.0,2270329.0,1.36993242543389,1.6674267377485814,0.7299630123604647,1.8942745,1.079028,2.709521,,,494320.0,7123.0,0.014409694125262988,311172.0,7123.0,554215.0,304233.0,249982.0,0.548944001876528,643988.0,410990.0,232986.0,43127.0,14830.0,28286.0,0.06696863916718945,322445.0,2864.0,0.00888213493774132,10508.0,,,4879.0,0.4643129044537495,12951.0,7207.0,0.5564821249324376,0.0,0.0,,0.0,0.0,,0.0,0.0,,640104.0,405600.0,234504.0,405600.0,234504.0,87693.0,0.0,1895624.0,1.7067687811857382,35746.0,0.01459302142821859,415.0,2613.0,10373.0,58072.0,51796.0,54731.0
FFT,gem5,i1,128,3,binaries/FFT/stats/gem5/i1/128/t3,0.000512,,,,0.000512,4.21,121446346.0,8787160.0,2.3980815347721824,1743066.0,1743066.0,1226959.0,2762767.0,2762247.0,3062000.0,1.5850042396558708,2.2517190875978743,0.6309131388930012,2.1868296666666667,1.104213,2.753063,,,742281.0,7610.0,0.010252182125098177,441068.0,7610.0,808008.0,432473.0,375535.0,0.5352335620439401,796215.0,548992.0,247208.0,47013.0,17236.0,29763.0,0.059045609540136774,345138.0,2981.0,0.008637124860200848,11335.0,,,5498.0,0.4850463167181297,13865.0,7911.0,0.5705733862243058,0.0,0.0,,0.0,0.0,,0.0,0.0,,792834.0,544052.0,248782.0,544052.0,248782.0,92986.0,0.0,2447593.0,1.8815013315617424,37117.0,0.01139953151263924,559.0,2614.0,11616.0,58562.0,53191.0,57884.0
FFT,gem5,i1,128,4,binaries/FFT/stats/gem5/i1/128/t4,0.000508,,,,0.000508,5.03,101122228.0,8792744.0,2.3980815347721824,1999664.0,1999664.0,1219118.0,3463377.0,3462778.0,3760173.0,1.7319794725513886,2.840887428452373,0.5773740485081468,2.318601,1.09539,2.736,,,976601.0,7785.0,0.007971525730569598,558133.0,7785.0,1045571.0,553204.0,492367.0,0.529092715846174,904554.0,661584.0,242952.0,48929.0,18680.0,30232.0,0.05409185079055535,346580.0,3088.0,0.008909919787639218,11414.0,,,5736.0,0.5025407394427895,14036.0,8241.0,0.5871330863493873,0.0,0.0,,0.0,0.0,,0.0,0.0,,898198.0,653605.0,244593.0,653605.0,244593.0,97981.0,0.0,2904308.0,1.9911360108498228,37506.0,0.009477494551312422,637.0,2853.0,12516.0,58563.0,52281.0,61007.0
FFT,gem5,i1,256,1,binaries/FFT/stats/gem5/i1/256/t1,0.000429,,,,0.000429,2.16,198286894.0,8774972.0,2.3980815347721824,1029130.0,1029130.0,1029130.0,1155020.0,1154832.0,1415411.0,1.1223266254020385,1.1223266254020385,0.8910062163425742,1.122327,1.122327,1.122327,,,226905.0,6053.0,0.02667636235428924,150108.0,6053.0,253523.0,145239.0,108284.0,0.5728829336983232,463600.0,252552.0,211039.0,36832.0,11422.0,25401.0,0.07944779982743745,257270.0,2445.0,0.009503634314144672,9263.0,,,4192.0,0.45255316851991795,11362.0,6211.0,0.5466467171272663,0.0,0.0,,0.0,0.0,,0.0,0.0,,468224.0,257137.0,211087.0,257137.0,211087.0,117299.0,0.0,1264662.0,1.4731472214394683,19152.0,0.012731841569941367,255.0,3508.0,6362.0,54938.0,51601.0,43001.0
FFT,gem5,i1,256,2,binaries/FFT/stats/gem5/i1/256/t2,0.000503,,,,0.000503,3.37,149176208.0,8780556.0,2.3980815347721824,1473610.0,1473610.0,1206136.0,2024177.0,2023765.0,2314327.0,1.3736178500417342,1.6782328029343292,0.7280045173915127,1.884848,1.082265,2.687431,,,494233.0,7098.0,0.014361647239257596,311061.0,7098.0,553925.0,304217.0,249708.0,0.5492025093649863,654931.0,416055.0,238864.0,44529.0,14793.0,29725.0,0.06799036845102767,325732.0,2880.0,0.008841624402883353,10639.0,,,5272.0,0.49553529467055174,13100.0,7613.0,0.5811450381679389,0.0,0.0,,0.0,0.0,,0.0,0.0,,651093.0,410711.0,240382.0,410711.0,240382.0,128432.0,0.0,1910114.0,1.7081778761001893,42748.0,0.017133432598331465,393.0,3502.0,10366.0,55619.0,53199.0,55062.0
FFT,gem5,i1,256,3,binaries/FFT/stats/gem5/i1/256/t3,0.000518,,,,0.000518,4.3,120495984.0,8787160.0,2.3980815347721824,1775277.0,1775277.0,1242174.0,2813701.0,2813214.0,3116721.0,1.5849363226133162,2.2651424035602097,0.6309401745245853,2.1714263333333332,1.104301,2.730172,,,745684.0,7601.0,0.010193325859211141,442695.0,7601.0,810992.0,434064.0,376928.0,0.5352259948310217,808920.0,555770.0,253135.0,49053.0,17301.0,31738.0,0.06064011274291648,351223.0,3011.0,0.008572900977441683,11534.0,,,6054.0,0.5248829547425005,14098.0,8497.0,0.6027096041991772,0.0,0.0,,0.0,0.0,,0.0,0.0,,805655.0,550946.0,254709.0,550946.0,254709.0,133744.0,0.0,2469366.0,1.880077869538106,44475.0,0.01341982368207374,575.0,3526.0,11652.0,56559.0,56630.0,58641.0
FFT,gem5,i1,256,4,binaries/FFT/stats/gem5/i1/256/t4,0.000513,,,,0.000513,5.07,101177541.0,8791720.0,2.3980815347721824,2027490.0,2027490.0,1230408.0,3502145.0,3501587.0,3802727.0,1.727330344416002,2.846328209829585,0.5789280569479561,2.30133675,1.095029,2.720097,,,975958.0,7735.0,0.007925545976363737,557450.0,7735.0,1044207.0,552594.0,491613.0,0.5291996701803378,914936.0,666073.0,248845.0,51006.0,18613.0,32377.0,0.05574816162004774,349077.0,3111.0,0.00891207384044208,11724.0,,,6291.0,0.5365916069600819,14382.0,8828.0,0.6138228340981783,0.0,0.0,,0.0,0.0,,0.0,0.0,,908940.0,658457.0,250483.0,658457.0,250483.0,138760.0,0.0,2917907.0,1.9850766218329068,44333.0,0.011081380017122111,652.0,3871.0,12473.0,56481.0,56145.0,62594.0
FFT,gem5,i1,512,1,binaries/FFT/stats/gem5/i1/512/t1,0.000449,,,,0.000449,2.34,191783320.0,8773944.0,2.3980815347721824,1076984.0,1076984.0,1076984.0,1271399.0,1271201.0,1550541.0,1.1805180021244512,1.1805180021244512,0.8470857692982298,1.180518,1.180518,1.180518,,,228395.0,6075.0,0.02659865583747455,150977.0,6075.0,255166.0,147670.0,107496.0,0.5787213029949131,512396.0,276227.0,236160.0,37485.0,11615.0,25861.0,0.07315630879241837,265351.0,2468.0,0.009300888257440146,9478.0,,,4321.0,0.45589786874868116,11600.0,6363.0,0.5485344827586207,0.0,0.0,,0.0,0.0,,0.0,0.0,,517397.0,281189.0,236208.0,281189.0,236208.0,227156.0,0.0,1332031.0,1.5373106749961003,16345.0,0.009943181818181818,245.0,4421.0,6538.0,59262.0,56923.0,43858.0
FFT,gem5,i1,512,2,binaries/FFT/stats/gem5/i1/512/t2,0.000516,,,,0.000516,3.62,142561030.0,8781576.0,2.3980815347721824,1532782.0,1532782.0,1238363.0,2148806.0,2148375.0,2457746.0,1.4018992916148545,1.735198806811896,0.713318000787414,1.874831,1.106881,2.642781,,,498530.0,7171.0,0.014384289812047419,313459.0,7171.0,558769.0,308250.0,250519.0,0.551659093471542,705891.0,441857.0,264022.0,48818.0,15667.0,33139.0,0.06915798614800302,334830.0,2934.0,0.008762655676014693,11441.0,,,6051.0,0.5288873350231623,13951.0,8443.0,0.6051895921439323,0.0,0.0,,0.0,0.0,,0.0,0.0,,701756.0,436214.0,265542.0,436214.0,265542.0,238290.0,0.0,1983010.0,1.7398475451825504,46690.0,0.017656840125235364,427.0,4402.0,10931.0,62546.0,58622.0,57174.0
