# started on Sat May  9 01:11:45 2026

5.63,msec,task-clock:u,0.91%,5501130,100.00,0.921,CPUs utilized
6174181,ns,duration_time,1.14%,6039481,100.00,,
1843070,ns,user_time,40.56%,3692600,100.00,,
4329750,ns,system_time,17.38%,2433000,100.00,,
1487474,,mem_access:u,24.92%,3507870,63.00,264.157,M/sec
1679235,,mem_access_rd:u,2.10%,5501130,100.00,298.211,M/sec
788137,,mem_access_wr:u,0.53%,5501130,100.00,139.963,M/sec
1954539,,ld_spec:u,0.71%,5501130,100.00,347.102,M/sec
846465,,st_spec:u,0.82%,5501130,100.00,150.322,M/sec
33778,,ase_spec:u,0.12%,5501130,100.00,5.999,M/sec
14690,,vfp_spec:u,16.39%,1993260,36.00,2.609,M/sec
