# started on Mon May  4 05:59:57 2026

1.00,msec,task-clock:u,7.88%,1186999,100.00,0.906,CPUs utilized
1154053,ns,duration_time,7.85%,1408100,100.00,,
1202720,ns,user_time,8.40%,1140600,100.00,,
236410,ns,system_time,43.03%,301800,100.00,,
826511,,mem_access:u,11.35%,1186999,100.00,828.570,M/sec
751812,,mem_access_rd:u,12.23%,1186999,100.00,753.685,M/sec
173752,,mem_access_wr:u,0.12%,1186999,100.00,174.185,M/sec
760770,,ld_spec:u,12.03%,1186999,100.00,762.665,M/sec
172728,,st_spec:u,0.21%,1186999,100.00,173.158,M/sec
29393,,ase_spec:u,0.16%,1186999,100.00,29.466,M/sec
<not counted>,,vfp_spec:u,100.03%,0,0.00,,
