# started on Mon May  4 06:00:40 2026

650.16,msec,task-clock:u,0.38%,653594925,100.00,2.006,CPUs utilized
324151117,ns,duration_time,0.36%,325444770,100.00,,
648915040,ns,user_time,0.05%,649142200,100.00,,
2421666,ns,system_time,17.09%,1586000,100.00,,
1041890136,,mem_access:u,0.25%,557714625,85.00,1.603,G/sec
1024119331,,mem_access_rd:u,0.16%,557742816,85.00,1.575,G/sec
15920264,,mem_access_wr:u,0.48%,557610409,85.00,24.487,M/sec
937605282,,ld_spec:u,0.13%,562424074,86.00,1.442,G/sec
10648374,,st_spec:u,0.32%,565608906,86.00,16.378,M/sec
2681823408,,ase_spec:u,0.03%,565618221,86.00,4.125,G/sec
350,,vfp_spec:u,8.15%,554850499,84.00,538.329,/sec
